uri,id,label,description,created_at,cluster_id
https://orkg.org/property/P36083,P36083,dataset statistics,,2021-05-11T07:46:31.347219+02:00,105
https://orkg.org/property/P137001,P137001,dataset features,,2024-03-13T09:43:20.227646865+01:00,106
https://orkg.org/property/DATA,DATA,data,"Facts or information, escpecially when examined and used to find out things or to make decisions.",2019-01-06T15:04:07.692Z,107
https://orkg.org/property/P16037,P16037,dataset description,,2020-04-08T15:58:52.289462+02:00,108
https://orkg.org/property/P41974,P41974,other datasets,List all the datasets used for applications other than geology/mineralogy.,2021-10-23T18:46:45.757638+02:00,109
https://orkg.org/property/P25059,P25059,data used,Enlists all the satellite datasets used in this work.,2020-07-17T17:36:30.931738+02:00,110
https://orkg.org/property/P174330,P174330,comparative analysis,,2025-05-16T21:04:15.98782096+02:00,112
https://orkg.org/property/P15068,P15068,research method,,2020-03-30T20:57:44.811+02:00,113
https://orkg.org/property/P20147,P20147,number of steps,,2020-06-02T10:12:06.555792+02:00,117
https://orkg.org/property/P200035,P200035,step size,,2026-06-24T14:09:35.157259981+02:00,118
https://orkg.org/property/P174351,P174351,protocol step,,2025-05-16T21:30:26.091409876+02:00,119
https://orkg.org/property/P200602,P200602,step name,,2026-06-28T14:07:21.278816902+02:00,120
https://orkg.org/property/P43070,P43070,steps,,2021-11-11T10:10:17.969439+01:00,121
https://orkg.org/property/P5069,P5069,observation,,2019-12-17T12:37:34.522+01:00,122
https://orkg.org/property/P174077,P174077,observation technique,,2025-05-12T22:04:16.787485924+02:00,124
https://orkg.org/property/P27032,P27032,observed value,,2020-09-08T12:51:38.267262+02:00,125
https://orkg.org/property/P5053,P5053,observes,,2019-12-17T12:37:34.469+01:00,126
https://orkg.org/property/P145023,P145023,observed feature,Feature in an investigation that was changed in order to determine its influence on a different feature or quality.,2024-05-21T09:20:20.737104326+02:00,127
https://orkg.org/property/P15452,P15452,observer,,2020-03-31T10:08:08.209+02:00,128
https://orkg.org/property/P7084,P7084,observed in,,2020-01-31T12:12:46.307+01:00,129
https://orkg.org/property/P174541,P174541,manual observation,,2025-05-18T14:48:53.664842103+02:00,130
https://orkg.org/property/P115007,P115007,observation unit,"type of object constituting the smallest unique observation in a study (e.g. measurements; samples, sites, species, individuals, populations, etc. These are typically arranged as rows in a dataset)",2023-05-30T11:57:10.67382+02:00,131
https://orkg.org/property/P7085,P7085,observations,,2020-01-31T12:12:46.311+01:00,132
https://orkg.org/property/P2001,P2001,algorithm,"A finite sequence of rigorous well-defined instructions, typically used to solve a class of specific problems or to perform a computation.",2019-01-06T15:04:07.692Z,133
https://orkg.org/property/P31,P31,contribution,,2022-06-30T08:20:34.702425Z,134
https://orkg.org/property/RESULT,RESULT,result,"The result represents the key findings or outcomes derived from a research contribution after applying a specific method to a given material in addressing the research problem. Results provide evidence of the effectiveness, performance, or implications of the proposed approach and are often expressed in terms of quantitative metrics, qualitative observations, or experimental validations.",2022-01-18T11:06:14.559584+01:00,136
https://orkg.org/property/P15067,P15067,publication type,,2020-03-30T20:57:44.744+02:00,137
https://orkg.org/property/P188132,P188132,publication,A publication event associated with the item.,2026-03-10T17:59:09.453434122+01:00,138
https://orkg.org/property/P174029,P174029,publication venue,,2025-05-12T22:04:12.725549125+02:00,139
https://orkg.org/property/P37346,P37346,publication location,,2021-05-29T17:43:15.372127+02:00,141
https://orkg.org/property/P37144,P37144,howpublished,,2021-05-21T02:57:34.465718+02:00,142
https://orkg.org/property/hasPublishedVersion,hasPublishedVersion,published version,,2019-01-06T15:04:07.692Z,143
https://orkg.org/property/P27055,P27055,publications,Publications,2020-09-25T14:50:42.785868+02:00,144
https://orkg.org/property/P65072,P65072,publications / source,,2022-08-04T13:49:57.336571Z,145
https://orkg.org/property/P203058,P203058,evaluation date,,2026-07-25T02:36:50.445691243+02:00,146
https://orkg.org/property/P15207,P15207,date,the Small Language Model date in the following format YYYY.MM i.e. 2022.05,2020-03-30T21:26:05.983+02:00,147
https://orkg.org/property/P171011,P171011,date reported,,2025-04-28T15:23:27.172001608+02:00,148
https://orkg.org/property/P49020,P49020,date created,The date on which the CreativeWork was created or the item was added to a DataFeed.,2022-04-14T12:45:27.522521+02:00,149
https://orkg.org/property/P198113,P198113,submission date,,2026-06-03T16:56:14.050523293+02:00,150
https://orkg.org/property/P203046,P203046,snapshot date,,2026-07-25T02:13:43.658791588+02:00,151
https://orkg.org/property/P191022,P191022,access date,,2026-04-20T12:29:53.795116702+02:00,152
https://orkg.org/property/P121003,P121003,query date,,2023-08-31T12:04:42.200956+02:00,153
https://orkg.org/property/P191021,P191021,date added,,2026-04-20T12:29:53.736649128+02:00,154
https://orkg.org/property/P18054,P18054,deposit date,,2020-04-25T07:46:08.969383+02:00,155
https://orkg.org/property/P91006,P91006,date metadata,Refers to publication date of a scientific document or the publication date of cited work. ,2022-12-17T08:56:44.753371Z,156
https://orkg.org/property/P110066,P110066,source,Source of the label/resource/information,2023-04-26T19:34:43.545178+02:00,157
https://orkg.org/property/P183140,P183140,limitation,"Outlines the constraints and potential weaknesses in the study, acknowledging factors that may affect the results or their interpretation.",2025-11-09T15:04:47.8203233+01:00,158
https://orkg.org/property/P107003,P107003,objective,The aim/goal/intention of the system,2023-03-24T17:17:01.121685+01:00,159
https://orkg.org/property/P37386,P37386,software,,2021-05-30T16:05:03.747539+02:00,160
https://orkg.org/property/P175039,P175039,data type,,2025-06-29T14:02:25.277482291+02:00,161
https://orkg.org/property/wikidata:P276,wikidata:P276,location,"location of the object, structure or event. If possible the offcial name of a location in its local language, or a specific description of the geographic area.",2022-08-08T06:05:45.496008Z,162
https://orkg.org/property/P6,P6,author,The author of this content.,2019-01-06T15:04:07.692Z,163
https://orkg.org/property/googleScholarID,googleScholarID,google scholar id,,2021-08-02T19:09:16.048101+02:00,164
https://orkg.org/property/P9,P9,orcid,,2019-01-06T15:04:07.692Z,165
https://orkg.org/property/researchGateID,researchGateID,ResearchGate ID,,2021-08-02T19:09:16.111478+02:00,166
https://orkg.org/property/P58082,P58082,publons id,,2022-06-26T01:26:25.296949Z,167
https://orkg.org/property/P29,P29,publication year,,2022-06-30T08:20:23.064212Z,168
https://orkg.org/property/P136019,P136019,snowballing,Ability of the tool to support the automated retrieval of the citations from bibliographic databases (snowballing).,2024-03-04T21:59:22.718339641+01:00,171
https://orkg.org/property/P15080,P15080,threshold,,2020-03-30T20:59:41.162+02:00,172
https://orkg.org/property/P59073,P59073,clock frequency,,2022-07-01T10:03:11.55688Z,173
https://orkg.org/property/P37257,P37257,locus,,2021-05-24T20:46:37.169741+02:00,174
https://orkg.org/property/P145031,P145031,facets,,2024-05-21T13:12:50.166455358+02:00,175
https://orkg.org/property/wikidata:P2401,wikidata:P2401,six degrees of francis bacon id,,2023-11-27T20:51:04.625032771+01:00,176
https://orkg.org/property/P57092,P57092,crosslinker,,2022-06-09T12:13:18.205888Z,177
https://orkg.org/property/P34055,P34055,level of negotiation,,2021-01-08T15:44:55.960027+01:00,178
https://orkg.org/property/P161021,P161021,saturation,,2024-12-18T02:30:28.270307337+01:00,179
https://orkg.org/property/P15335,P15335,factor,,2020-03-31T09:19:25.229+02:00,180
https://orkg.org/property/P57093,P57093,binder,,2022-06-09T12:13:39.972648Z,181
https://orkg.org/property/uses,uses,uses,,2022-02-22T10:04:16.317741+01:00,182
https://orkg.org/property/ASSOCIATED_WITH,ASSOCIATED_WITH,associated with,,2021-12-21T16:31:11.455828+01:00,183
https://orkg.org/property/P5009,P5009,task,"Task is a multi-valued field with the following subfields: 1) Task Type -this field describes the nature of the task used to evaluate hallucinations in LLMs (i.e. Generative QA, Multi-Choice QA, ​Detection) 2) Input -this field specifies the type of input provided to the model for the task (i.e. Question, Paragraph & Concept, Query, Document) 3)  Label -this field indicates the type of label or expected output used for evaluation (i.e. Answer, Passage, Response, Summary) 4) Metric-this field describes the metrics used to evaluate the model's performance (i.e. LLM-Judge & Human, Acc: Accuracy, EM: Exact Match, AUROC: Area Under the Receiver Operating Characteristic curve, ​P & R & F1: Precision, Recall, and F1 score, Balanced accuracy)",2019-12-17T11:39:36.12+01:00,185
https://orkg.org/property/P37543,P37543,year,Year of publication of the resource,2021-05-31T20:51:20.046128+02:00,186
https://orkg.org/property/P110122,P110122,year of measurement,The year in which the measurement was taken.,2023-05-04T15:29:42.115727+02:00,188
https://orkg.org/property/P52004,P52004,test year,,2022-04-25T21:54:48.069851Z,189
https://orkg.org/property/P41042,P41042,launch year,,2021-07-25T21:17:49.563901+02:00,190
https://orkg.org/property/P80000,P80000,year created,The year when the resource was created,2022-11-24T13:13:11.748577Z,191
https://orkg.org/property/P183013,P183013,dataset year,,2025-10-14T15:14:42.214406522+02:00,192
https://orkg.org/property/P111010,P111010,comparison year,The comparison year,2023-05-05T08:45:23.434336+02:00,193
https://orkg.org/property/P37316,P37316,sampling year,,2021-05-26T14:23:19.878058+02:00,194
https://orkg.org/property/P111009,P111009,current year,The current year considered,2023-05-05T08:44:27.18707+02:00,195
https://orkg.org/property/P38003,P38003,dataset size,,2021-06-14T10:57:25.800469+02:00,196
https://orkg.org/property/P74011,P74011,training size,,2022-11-04T10:06:10.432905Z,198
https://orkg.org/property/P59230,P59230,total dataset size,,2022-07-11T22:22:57.276878Z,200
https://orkg.org/property/P174311,P174311,deployment period,,2025-05-16T20:47:53.036302252+02:00,202
https://orkg.org/property/P174057,P174057,deployment area,,2025-05-12T22:04:15.007906021+02:00,203
https://orkg.org/property/P7067,P7067,deployed in,,2020-01-29T17:35:56.164+01:00,204
https://orkg.org/property/P174480,P174480,deployment log,,2025-05-17T13:36:21.369660262+02:00,205
https://orkg.org/property/P174091,P174091,deployment status,,2025-05-12T22:04:17.988496782+02:00,206
https://orkg.org/property/P174049,P174049,deployment context,,2025-05-12T22:04:14.358897863+02:00,207
https://orkg.org/property/P71227,P71227,deployment,,2022-10-24T04:13:33.36286Z,208
https://orkg.org/property/P198267,P198267,deployment positions,,2026-06-08T10:51:02.581686549+02:00,209
https://orkg.org/property/P37308,P37308,data collection,The process of gathering information or data.,2021-05-26T11:47:09.996667+02:00,211
https://orkg.org/property/HAS_IMPLEMENTATION,HAS_IMPLEMENTATION,implementation,,2022-12-01T17:27:09.017803Z,212
https://orkg.org/property/P70000,P70000,technique,"sum of techniques, skills, methods, and processes used in the production of goods or services or in the accomplishment of objectives, such as scientific investigation",2022-09-01T08:39:45.575801Z,213
https://orkg.org/property/P41006,P41006,preprocessing,This property includes the  preprocessing methods which the satellite datasets requires before the application of different analytical technqiues or visual interpretation.,2021-07-23T14:43:10.129624+02:00,214
https://orkg.org/property/citation,citation,citation,Citation is formal bibliographic citation connected to the software mention.,2022-02-22T10:07:18.540225+01:00,215
https://orkg.org/property/P9008,P9008,modality,,2020-03-11T18:26:03.295+01:00,216
https://orkg.org/property/P183164,P183164,knowledge type,,2025-11-14T08:05:09.858387835+01:00,217
https://orkg.org/property/P200745,P200745,knowledge source,The infrastructure or medium queried by the system.,2026-07-05T20:16:09.593811652+02:00,218
https://orkg.org/property/P44140,P44140,knowledge base,,2022-01-13T14:18:26.992745+01:00,219
https://orkg.org/property/P119213,P119213,field of knowledge,Field of knowlrdge,2023-08-17T20:59:47.175164+02:00,220
https://orkg.org/property/P34003,P34003,derived from,,2020-12-14T13:21:26.718296+01:00,221
https://orkg.org/property/P183035,P183035,start date,,2025-10-21T12:54:14.267553311+02:00,222
https://orkg.org/property/P5013,P5013,language,The language used by the LLM Hallucination Benchmark,2019-12-17T11:39:36.212+01:00,223
https://orkg.org/property/P59254,P59254,research question,Details on which research question the authors are answering with the current study. Formulated as a question.,2022-07-12T14:16:20.089465Z,224
https://orkg.org/property/P174296,P174296,influenced by,,2025-05-16T13:46:18.18470359+02:00,225
https://orkg.org/property/P56001,P56001,influencing factor,,2022-05-22T09:19:38.670333Z,226
https://orkg.org/property/P174124,P174124,influence type,,2025-05-12T22:04:21.070192431+02:00,227
https://orkg.org/property/P174239,P174239,influences phase,,2025-05-15T23:50:55.37980055+02:00,228
https://orkg.org/property/P174125,P174125,influence strength,,2025-05-12T22:04:21.154946239+02:00,229
https://orkg.org/property/P174405,P174405,influenced by content,,2025-05-16T22:28:44.206441464+02:00,230
https://orkg.org/property/P145025,P145025,influenced feature,the feature or quality which was influenced,2024-05-21T09:24:53.702952927+02:00,231
https://orkg.org/property/P16033,P16033,code,,2020-04-08T15:58:14.021864+02:00,232
