uri,id,label,description,created_at
https://orkg.org/property/P105033,P105033,has application domain,,2023-03-15T13:59:57.288645Z
https://orkg.org/property/P105034,P105034,has corresponding pattern,,2023-03-15T13:59:58.093414Z
https://orkg.org/property/P105035,P105035,has processing engine,,2023-03-15T13:59:59.308091Z
https://orkg.org/property/P105036,P105036,Resource Formalism,,2023-03-15T14:00:00.109553Z
https://orkg.org/property/P105037,P105037,resource size,,2023-03-15T14:00:00.897953Z
https://orkg.org/property/P105038,P105038,resource type,,2023-03-15T14:00:01.686862Z
https://orkg.org/property/P105039,P105039,has statistical model,,2023-03-15T14:00:02.480954Z
https://orkg.org/property/P105040,P105040,has KR step 1,,2023-03-15T14:00:03.285339Z
https://orkg.org/property/P105041,P105041,has ML step 1,,2023-03-15T14:00:04.070395Z
https://orkg.org/property/P105042,P105042,has ML step 2,,2023-03-15T14:00:04.878034Z
https://orkg.org/property/P105043,P105043,has ML step 3,,2023-03-15T14:00:05.665585Z
https://orkg.org/property/P105044,P105044,has ML step 4,,2023-03-15T14:00:06.448382Z
https://orkg.org/property/P105045,P105045,has ML step 5,,2023-03-15T14:00:07.245726Z
https://orkg.org/property/P105046,P105046,has system maturity,,2023-03-15T14:00:08.061585Z
https://orkg.org/property/P105047,P105047,has training type,,2023-03-15T14:00:08.851895Z
https://orkg.org/property/P105048,P105048,has variable data 1,,2023-03-15T14:00:09.645497Z
https://orkg.org/property/P105049,P105049,has variable data 2,,2023-03-15T14:00:10.4448Z
https://orkg.org/property/P105050,P105050,has variable data 3,,2023-03-15T14:00:11.237591Z
https://orkg.org/property/P105051,P105051,has variable data 4,,2023-03-15T14:00:12.031413Z
https://orkg.org/property/P105052,P105052,has variable data 5,,2023-03-15T14:00:12.812652Z
https://orkg.org/property/P105053,P105053,has variable data 6,,2023-03-15T14:00:13.60245Z
https://orkg.org/property/P105054,P105054,has variable data 7,,2023-03-15T14:00:14.396287Z
https://orkg.org/property/P105055,P105055,has variable SW 1,,2023-03-15T14:00:15.182228Z
https://orkg.org/property/P105056,P105056,has variable SW 2,,2023-03-15T14:00:15.973279Z
https://orkg.org/property/P105057,P105057,has variable SW 3,,2023-03-15T14:00:16.767012Z
https://orkg.org/property/P105058,P105058,has variable SW 4,,2023-03-15T14:00:17.556981Z
https://orkg.org/property/P105059,P105059,reports,,2023-03-15T14:00:18.334532Z
https://orkg.org/property/P105060,P105060,altLabel,,2023-03-15T14:00:19.543729Z
https://orkg.org/property/P105061,P105061,hasCompoundElement,,2023-03-15T14:00:20.332059Z
https://orkg.org/property/P106000,P106000,Reasoning engine,The reasoning engine,2023-03-18T09:12:26.152435Z
https://orkg.org/property/P106001,P106001,Logic type,"The logic type that is considered by the Symbolic AI model (e.g., Informal logic, Formal logic, Symbolic logic, Mathematical logic)",2023-03-18T09:16:54.376605Z
https://orkg.org/property/P106002,P106002,spelling,The different names used to designate an item,2023-03-18T10:18:47.294972Z
https://orkg.org/property/P106003,P106003,# image,The total number of images in the dataset,2023-03-18T11:11:07.168755Z
https://orkg.org/property/P106004,P106004,external dataset,An external dataset to the dataset used by the system or in the paper,2023-03-18T13:01:36.197032Z
https://orkg.org/property/P106005,P106005,external dataset,An external dataset to the dataset used by the system or in the paper,2023-03-18T13:01:36.489473Z
https://orkg.org/property/P106006,P106006,neural-symbolic model,The Neural-symbolic model used by the system,2023-03-18T13:50:48.714687Z
https://orkg.org/property/P106007,P106007,rating type,"The different rating of items (e.g., like, dislike, unknown)",2023-03-18T14:36:30.478456Z
https://orkg.org/property/P106008,P106008,percentage training rating,The percentage of training ratings during the evaluation of the system,2023-03-18T14:58:25.292866Z
https://orkg.org/property/P106009,P106009,is review paper?,,2023-03-20T09:50:27.939959Z
https://orkg.org/property/P106010,P106010,description,,2023-03-20T10:43:24.771976Z
https://orkg.org/property/P106011,P106011,penetration depth [nm],,2023-03-20T10:43:24.779779Z
https://orkg.org/property/P106012,P106012,centralization,Access control policy or model centralization. Can be centralized or distributed.,2023-03-20T10:47:55.298263Z
https://orkg.org/property/P106013,P106013,machine,,2023-03-20T10:54:51.461076Z
https://orkg.org/property/P106014,P106014,aperture diameter,,2023-03-20T10:55:27.897045Z
https://orkg.org/property/P106015,P106015,aperture diameter [mm],,2023-03-20T10:55:52.260365Z
https://orkg.org/property/P106016,P106016,distance [mm],,2023-03-20T10:56:38.710715Z
https://orkg.org/property/P106017,P106017,sputtering rate,method in SNMS to obtain depth profiles of chemical composition,2023-03-20T10:58:35.608487Z
https://orkg.org/property/P106018,P106018,sputtering rate [nm/s],sputtering is a method in SNMS to obtain depth profiles of chemical composition,2023-03-20T10:59:26.251642Z
https://orkg.org/property/P106019,P106019,homogeneity,Homogeneity of access control systems is about ability of a system to incorporate several different access control models or policies. Can be homogeneous or heterogeneous. ,2023-03-20T11:00:03.198898Z
https://orkg.org/property/P106020,P106020,conflict resolution,Conflict resolution method used in an access control system,2023-03-20T12:54:25.901022Z
https://orkg.org/property/P106021,P106021,Clustering algorithms,,2023-03-20T20:14:19.429112Z
https://orkg.org/property/P106022,P106022,bearing type,what bearing type was used/examined within this study,2023-03-21T10:06:47.706915Z
https://orkg.org/property/P106023,P106023,bearing position,"where if applicable was the bearing originally placed (main shaft bearing, gearbox shaft, high speed shaft, etc.)",2023-03-21T10:11:28.712227Z
https://orkg.org/property/P106024,P106024,access control concept,"What access control concepts are used in the model (users, contexts, roles, labels, etc)",2023-03-21T11:15:04.506782Z
https://orkg.org/property/P106025,P106025,formal description,A formal description of a system (exists or not),2023-03-21T11:34:57.769871Z
https://orkg.org/property/P106026,P106026,element,"Element of a set, e.g. participating in a relation",2023-03-21T11:42:15.711571Z
https://orkg.org/property/P106027,P106027,relation type,"A type of a relation (many-to-many, one-to-many, etc)",2023-03-21T11:44:34.153234Z
https://orkg.org/property/wikidata:P2159,wikidata:P2159,computes solution to,,2023-03-22T09:23:51.890117Z
https://orkg.org/property/P106028,P106028,has engine,,2023-03-22T10:03:22.670942Z
https://orkg.org/property/P106029,P106029,has engine,,2023-03-22T10:03:22.857031Z
https://orkg.org/property/P106030,P106030,has engine,,2023-03-22T10:03:22.923355Z
https://orkg.org/property/P106031,P106031,has engine,,2023-03-22T10:03:46.465869Z
https://orkg.org/property/P106032,P106032,has engine,,2023-03-22T10:03:46.567708Z
https://orkg.org/property/P106033,P106033,has engine,,2023-03-22T10:03:46.623137Z
https://orkg.org/property/P106034,P106034,has engine,,2023-03-22T10:04:19.690274Z
https://orkg.org/property/P106035,P106035,has engine,,2023-03-22T10:04:19.802698Z
https://orkg.org/property/P106036,P106036,has engine,,2023-03-22T10:04:19.858735Z
https://orkg.org/property/P106037,P106037,has engine,,2023-03-22T10:05:59.199846Z
https://orkg.org/property/P106038,P106038,has engine,,2023-03-22T10:05:59.293584Z
https://orkg.org/property/P106039,P106039,has engine,,2023-03-22T10:05:59.347824Z
